ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	3	ALLEGAN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			22			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		6036			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		10965			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			76			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			25			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		73			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			4			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			5			
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	4	ALPENA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			29			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		6328			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		10340			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			70			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			16			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		81			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			9			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			6			
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	5	ANTRIM	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			13			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		2661			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		6379			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			42			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			14			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		43			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			4			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			1			
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	6	ARENAC	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			9			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		1488			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		2778			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			13			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			11			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		29			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			1			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			2			
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	7	BARAGA	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			68			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		12391			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		25649			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			178			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			66			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		244			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			13			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			11			
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	8	BARRY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			136			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		25725			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		34736			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			194			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			66			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		287			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			53			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			34			
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	9	BAY	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			36			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		5767			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		6890			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			54			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	4	U.S. TAXPAYERS	466422	TERRY	RANDALL			13			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	7	NATURAL LAW	466423	KENNEDY, JR.	ROBERT	F.		58			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	466425	KISHORE	JOSEPH			4			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	480174	WEST	CORNEL			5			
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481360	WRITE-IN				0	Y		
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481361	WRITE-IN				0	Y		
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481362	WRITE-IN				0	Y		
2024-11-05	1	0	0	10	BENZIE	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	8	NO PARTY AFFILIATION	481363	WRITE-IN				0	Y		
2024-11-05	1	0	0	11	BERRIEN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	5	GREEN	5006	STEIN	JILL			235			
2024-11-05	1	0	0	11	BERRIEN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	1	DEMOCRATIC	376696	HARRIS	KAMALA	D.		38288			
2024-11-05	1	0	0	11	BERRIEN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	2	REPUBLICAN	439008	TRUMP	DONALD	J.		44965			
2024-11-05	1	0	0	11	BERRIEN	ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION	3	LIBERTARIAN	466421	OLIVER	CHASE			357			
